Title,Year,Season,AverageSales,Rerelease,Total,Gross,Studio,Source
3-gatsu no Lion,2016,Fall,2490,0,2490,112.2,Shaft,manga
3-gatsu no Lion 2nd Season,2017,Fall,1602,0,1602,70.8,Shaft,manga
3D Kanojo: Real Girl,2018,Spring,92,0,92,0.8,Hoods Entertainment,manga
3D Kanojo: Real Girl 2nd Season,2019,Winter,0,0,0,0.0,Hoods Entertainment,manga
07-Ghost,2009,Spring,2529,0,2529,197.2,Studio Deen,manga
009-1,2006,Fall,1258,0,1258,46.4,Ishimori Entertainment,manga
11eyes,2009,Fall,656,0,656,18.4,Douga Koubou,visual novel
18if,2017,Summer,0,0,0,0.0,Gonzo,game
25-sai no Joshikousei,2018,Winter,102,0,102,0.6,Lilix,manga
30-sai no Hoken Taiiku,2011,Spring,221,0,221,1.3,Gathering,novel
91Days,2016,Summer,908,0,908,24.3,Shuka,original
.hack//Roots,2006,Spring,2138,0,2138,113.0,Bee Train,game
.hack//SIGN,2002,Spring,6032,0,6032,362.2,Bee Train,game
.hack//Tasogare no Udewa Densetsu,2003,Winter,2954,0,2954,102.8,Bee Train,game
A Channel,2011,Spring,5515,1334,6849,223.3,Studio Gokumi,manga
A.I.C.O. Incarnation,2018,Spring,284,0,284,5.1,Bones,original
Aa Megami-sama,2005,Winter,10062,2321,12383,483.0,AIC,manga
Aa Megami-sama Sorezore no Tsubasa,2006,Spring,7011,1678,8689,336.5,AIC,manga
Abenobashi Mahou Shoutengai,2002,Spring,2461,512,2973,54.0,Gainax,original
Absolute Duo,2015,Winter,1245,0,1245,50.5,8bit,novel
ACCA: 13-ku Kansatsu-ka,2017,Winter,4462,2522,6984,164.7,Madhouse,manga
Accel World,2012,Spring,8888,1533,10421,542.0,Sunrise,novel
Acchi Kocchi,2012,Spring,2321,641,2962,85.7,AIC,manga
Action Heroine Cheer Fruits,2017,Summer,445,0,445,16.4,Diomedia,original
Active Raid,2016,Winter,1875,0,1875,65.5,Production IMS,original
Active Raid 2nd,2016,Summer,1642,0,1642,59.4,Production IMS,original
Aho Girl,2017,Spring,662,0,662,6.5,Diomedia,manga
Ai Mai Mii,2013,Winter,783,654,1437,3.8,Dream Creation,manga
Ai Mai Mii: Mousou Catastrophe,2014,Summer,1035,0,1035,8.3,Seven,manga
Ai Mai Mii: Surgical Friends,2017,Winter,371,0,371,2.5,Seven,manga
Ai Tenchi Muyou!,2014,Fall,1480,0,1480,29.5,AIC Plus,original
